pid,ECategory,Event,ELevel
241998,hobbies,drawing ,school
346514,games,running ,school
346514,hobbies,drawing ,school
346514,games,running ,school
346514,hobbies,drawing ,school
346534,sports,kabbadi,school
346534,hobbies,drawing,school
346550,sports,member of national scouts/ guides,national
346550,others,member of nss,school
346550,sports,member of national scouts/ guides,national
346550,others,member of nss,school
241998,sports,badminton player,state
241998,hobbies,speedcubing,national
344522,sports,badminton player,state
344522,hobbies,speedcubing,national
344522,sports,badminton player,state
344522,hobbies,speedcubing,national
346512,others,project competition,state
346518,sports,"skating, athletics, ",school
346518,hobbies,cricket,school
346518,sports,"skating, athletics, ",school
346518,hobbies,cricket,school
346518,sports,"skating, athletics, ",school
346518,hobbies,cricket,school
346518,sports,"skating, athletics, ",school
346518,hobbies,cricket,school
241998,hobbies,playng piano ,national
241998,others,singing,school
346526,sports,cricket,school
342532,hobbies,cricket ,school
342516,cultural,"music, guitar playing",school
346168,sports,nil,school
346168,games,nil,school
346168,cultural,nil,school
346168,hobbies,nil,school
346168,others,nil,school
344548,hobbies,playing keyboard and guitar,school
342506,hobbies,arts,school
342506,others,garba,school
346510,sports,volley ball;cricket,school
346510,games,playing- chess,school
346510,hobbies,hobbies are playing- chess; volleyball;table tennis;cricket,school
346508,others,1st prize in technical quiz competition,state
344534,hobbies,"guitar,singing",school
342502,cultural,"winner in paper presentation in pravin patil institute of technology,1st prize in paper presentation in vidyalankar institute of technology,winner in quiz in vasant dada patil institute of technology,winner in debate competition in babasaheb gawde institute of technology.",state
342502,hobbies,debate,school
346516,sports,football,school
342510,sports,,school
342510,cultural,interschool dance competition ,school
342510,hobbies,intermediate grade drawing examination ,state
324230,sports,"cycling, kabaddi",school
324230,games,"chess, carrom",school
324230,hobbies,reading,school
241998,sports,thang-ta ,national
241998,games,taekwon-do,district
241998,cultural,thang-ta,national
241998,hobbies,cricket,state
342546,sports,bronze medal in 1st maharashtra state level karate championship 2007,state
346118,sports,district level football,district
346118,cultural,event organization,school
346118,others,organization of events and college festival ,school
346532,cultural,dance,school
241998,sports,basketball,district
241998,cultural,choir,school
241998,hobbies,"singing, music, reading",school
344504,sports,"runnning, long jump, high jump, relay run",school
344504,games,badminton,school
344504,cultural,singing and dancing,school
344504,hobbies,travelling,school
344526,sports,"kabbadi,kho_kho,running,high_jump,shot_put",school
344526,games,relay,school
344526,others,paper-presentation,national
342504,sports,discuss throw 3rd prize two times,school
342504,others,certificate of merit in c  certificate of participation in nsc(national linux security),school
342504,sports,discuss throw 3rd prize two times,school
342504,others,certificate of merit in c  certificate of participation in nsc(national linux security),school
342514,cultural,winner of project competition in  bhausaheb vartak polytechnic,school
342514,hobbies,"i like to travel at different places,watching televisiongardening,reading",school
342514,others,in yoga competition in bhausaheb vartak polytechnic,school
344526,others,paper-presentation,national
326242,sports,volleyball (school level as well as participation in district level),district
326242,cultural,science skit (nature club) ,district
326242,hobbies,"music, writing, and sports",school
241998,hobbies,"singing, drawing and desighning.",school
241998,hobbies,"singing, drawing and desighning.",school
241998,hobbies,"singing, drawing and desining.",school
241998,hobbies,"singing, drawing.",school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,sports,participated in cricket tournament,school
241998,games,participated in chess and carrom tournament,school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,hobbies,painting,school
241998,sports,participated in cricket tournament,school
241998,games,participated in chess and carrom tournament,school
241998,cultural,participated in cultural event of diploma college in all 3 years,school
241998,hobbies,painting,school
241998,others,.,school
