"pid,ssc,hsc,cet,diploma"
"198559,68.8,55.5,64.65,79"
"198560,88.4,66.17,41.32,79"
"198561,87.8,76.33,96.32584,79"
"198562,79.67,71.2,86.82,79"
"198563,76.2,58,76.59,79"
"198564,88.6,79.5,89.1,79"
"198565,88.4,66.5,73.88,79"
"198566,94.2,78.8,88.8,79"
"198567,89.2,78.5,76.5,79"
"198568,88,70,93.2,79"
"198569,83.2,68.3,75.2,79"
"198570,88.4,84.3,94.5,79"
"198571,81.3,61.3,67.5,79"
"198572,96,79.67,94.138,79"
"198573,82.6,82,81.93,79"
"198574,82.59,65.83,90.43505,79"
"198575,80.2,70.62,90.43505,88.75"
"198576,87.4,0,90.43505,85.6"
"198577,91.2,0,90.43505,85.6"
"198578,85.4,0,90.43505,84.06"
"198579,81.4,0,90.43505,86"
"198580,85,0,90.43505,88.74"
"198581,64.6,0,90.43505,89.83"
"198582,93.2,0,90.43505,89.6"
"198583,76.6,0,90.43505,84.51"
"198584,86.2,0,90.43505,88.35"
"198585,86.8,0,90.43505,83.76"
"198586,71,0,90.43505,89.94"
"198587,79.2,0,90.43505,83.7"
"198588,68,0,90.43505,83.77"
"198589,92.2,0,90.43505,85.08"
"198590,78.8,0,90.43505,86.17"
"198591,90.8,0,90.43505,90.47"
"198592,90.2,0,90.43505,86.23"
"198593,87.8,0,90.43505,88.75"
"198594,82,0,90.43505,92"
"198595,91.8,0,90.43505,88.86"
"198596,91.8,0,90.43505,88.86"
"198597,91.8,0,90.43505,88.86"
"198598,91.8,0,90.43505,88.86"
"198599,91.8,0,90.43505,88.86"
"198600,91.8,0,90.43505,88.86"
"198601,91.8,0,90.43505,88.86"
"198602,91.8,0,90.43505,88.86"
"198603,91.8,0,90.43505,88.86"
"198604,91.8,0,90.43505,88.86"
"198605,91.8,0,90.43505,88.86"
"198606,91.8,0,90.43505,88.86"
"198607,91.8,0,90.43505,88.86"
"198608,91.8,0,90.43505,88.86"
"198609,91.8,0,90.43505,88.86"
"198610,91.8,0,90.43505,88.86"
"198611,91.8,0,90.43505,88.86"
"198612,91.8,0,90.43505,88.86"
"198613,91.8,0,90.43505,88.86"
"198614,91.8,0,90.43505,88.86"
"198615,91.8,0,90.43505,88.86"
"198616,91.8,0,90.43505,88.86"
"198617,91.8,0,90.43505,88.86"
"198618,91.8,0,90.43505,88.86"
"198619,91.8,0,90.43505,88.86"
"198620,91.8,0,90.43505,88.86"
"198621,91.8,0,90.43505,88.86"
"198622,91.8,0,90.43505,88.86"
"198623,91.8,0,90.43505,88.86"
"198624,91.8,0,90.43505,88.86"
"198625,91.8,0,90.43505,88.86"
"198626,91.8,0,90.43505,88.86"
"198627,91.8,0,90.43505,88.86"
"198628,91.8,0,90.43505,88.86"
"198629,91.8,0,90.43505,88.86"
"198630,91.8,0,90.43505,88.86"
"198631,91.8,0,90.43505,88.86"
"198632,91.8,0,90.43505,88.86"
"198633,91.8,0,90.43505,88.86"
"198634,91.8,0,90.43505,88.86"
"198635,91.8,0,90.43505,88.86"
"198636,91.8,0,90.43505,88.86"
"198637,91.8,0,90.43505,88.86"
"198638,91.8,0,90.43505,88.86"
"198639,91.8,0,90.43505,88.86"
"198640,91.8,0,90.43505,88.86"
"198641,91.8,0,90.43505,88.86"
"198642,91.8,0,90.43505,88.86"
"198643,91.8,0,90.43505,88.86"
"198644,91.8,0,90.43505,88.86"
"198645,91.8,0,90.43505,88.86"
"198646,91.8,0,90.43505,88.86"
"198647,91.8,0,90.43505,88.86"
"198648,91.8,0,90.43505,88.86"
