pid,sem,gpa,result
198642,1,8.67,1
198643,1,0,0
198644,1,0,0
198645,1,7.72,1
198646,1,8.25,1
198647,1,7.08,1
198648,1,0,0
198649,1,7.72,1
198650,1,9.11,1
198651,1,7.39,1
198652,1,0,0
198653,3,0,0
198654,3,6.3,1
198655,1,0,0
198656,1,0,0
198657,1,7.67,1
198658,3,0,0
198659,3,6.17,1
198660,1,8.17,1
198661,1,8.06,1
198662,1,0,0
198663,1,6.94,1
198664,3,0,0
198665,3,0,0
198666,1,0,0
198667,1,7.44,1
198668,3,0,0
198669,3,0,0
198670,3,0,0
198671,3,6.17,1
198672,3,6.52,1
198673,1,0,0
198674,1,0,0
198675,1,7.89,1
198676,1,0,0
198677,1,8.89,1
198678,1,8.56,1
198679,1,8.86,1
198680,3,6.04,1
198681,3,5.87,1
198682,3,0,0
198683,3,0,0
198684,1,0,0
198685,1,7,1
198686,1,10,1
198687,1,8.97,1
198688,1,0,0
198689,1,7.61,1
198690,1,8.31,1
198691,1,7.47,1
198692,1,0,0
198693,1,0,0
198694,1,6.69,1
198695,1,9.22,1
198696,1,0,0
198697,1,0,0
198698,5,7.43,1
198699,4,7.68,1
198700,4,7.31,1
198701,4,0,0
198702,3,8.26,1
198703,5,0,0
198704,4,9.25,1
198705,4,0,0
198706,4,6.75,1
198707,4,7.33,1
198708,4,0,0
198709,4,0,0
198710,4,9.21,1
198711,4,10,1
198712,4,8.29,1
198713,4,9.63,1
198714,4,8.33,1
198715,4,6.79,1
198716,4,9.5,1
198717,4,6.71,1
198718,4,0,0
198719,4,7.75,1
198720,4,0,0
198721,4,6.96,1
198722,4,7.04,1
198723,4,7.75,1
198724,4,9.73,1
198725,4,9.21,1
198726,4,8.08,1
198727,4,6.54,1
198728,4,7.79,1
198729,4,8.5,1
198730,4,9.38,1
198731,4,0,0
198732,4,0,0
198733,4,0,0
198734,4,7.96,1
198735,4,7.79,1
198736,4,8.08,1
198737,4,7.25,1
198738,4,7.25,1
198739,4,0,0
198740,4,7.67,1
198741,4,8.88,1
198742,4,7.63,1
198743,4,6.96,1
198744,4,6.54,1
198745,4,7.17,1
198746,4,7.04,1
198747,4,8.5,1
198748,4,7.08,1
198749,4,5.83,1
198750,4,8.38,1
198751,4,7.96,1
198752,4,7.04,1
198753,4,10,1
198754,4,7.04,1
198755,4,7.88,1
198756,4,7.29,1
198757,4,8.42,1
198758,4,6.58,1
198759,4,9.5,1
198760,4,7.25,1
198761,4,7.21,1
198762,4,7.79,1
198763,4,7.46,1
198764,4,9.29,1
198765,4,9.38,1
198766,4,7.98,1
198767,4,8.13,1
198768,4,8.58,1
198769,4,6.13,1
198770,4,8.33,1
198771,4,0,0
198772,4,8.83,1
198773,4,7.71,1
198774,4,9.48,1
198775,4,0,0
198776,4,0,0
198777,4,7.13,1
198778,4,7.83,1
198779,4,6.96,1
198780,4,8.71,1
198781,4,8.21,1
198782,4,8.42,1
198783,4,9.67,1
198784,4,9.04,1
198785,4,6.58,1
198786,4,8.06,1
198787,4,9.38,1
198788,4,8.75,1
198789,4,6.67,1
198790,4,7.33,1
198791,4,6.75,1
198792,4,8.13,1
198793,4,9.31,1
198794,4,7.33,1
198795,4,0,0
198796,4,8,1
198797,4,0,0
198798,4,0,0
198799,4,7.67,1
198800,4,7.39,1
198801,2,9.05,1
198802,2,8.2,1
198803,4,8.67,1
198804,4,0,0
198805,2,8.55,1
198806,2,9,1
198807,2,9.25,1
198808,4,7.88,1
198809,2,9.9,1
198810,2,8.65,1
198811,2,0,0
198812,2,8.45,1
198813,2,7.35,1
198814,4,9.21,1
198815,4,0,0
198816,4,8.79,1
198817,4,7,1
198818,2,0,0
198819,2,0,0
198820,2,0,0
198821,2,7.43,1
198822,2,5.63,1
198823,2,7.25,1
198824,2,6.48,1
198825,2,7.13,1
198826,2,7.08,1
198827,2,7.75,1
198828,4,6.75,1
198829,2,0,0
198830,2,7.7,1
198831,2,0,0
198832,2,6.85,rs1
198833,4,8.29,1
198834,4,8.75,1
198835,4,0,0
198836,2,0,0
198837,2,0,0
198838,2,5.83,1
198839,2,0,0
198840,4,6.5,1
198841,4,7.46,1
198842,4,8.17,1
198843,4,8.33,1
198844,4,6.29,1
198845,4,8.21,1
198846,4,8.25,1
198847,4,8.33,1
198848,4,8.71,1
198849,2,7.28,1
198850,2,9.1,1
198851,2,0,0
198852,2,0,0
198853,2,0,0
198854,2,6.65,1
198855,2,6.85,1
198856,2,0,0
198857,2,7,1
198858,2,7.95,1
198859,2,8.85,1
198860,2,7.45,1
198861,2,7.7,1
198862,2,7.75,1
198863,2,0,0
198864,2,8.95,1
198865,3,7.17,1
198866,2,7.58,1
198867,2,8.18,1
198868,2,7.05,1
198869,2,0,0
198870,2,8.15,1
198871,2,8.53,1
198872,2,0,0
198873,2,8.5,1
198874,2,0,0
198875,2,7.3,1
198876,2,8.6,1
198877,2,7.88,1
198878,2,0,0
198879,2,0,0
198880,2,7.5,1
198881,2,0,0
